id,Timestamp,Pilihan Jadwal Kelas,Dari mana kamu mengetahui info ini ?,Status,Nama Kampus / Sekolah / Instansi,Alasan Mengikuti Bootcamp Data Science di Intelligo ID,Harapan setelah mengikuti Bootcamp,Unnamed: 0
b08e0cea-9237-4a5a-87d6-3f72a313ae3f,4/19/2024 9:03:31,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Pekerja aktif,unindra ,Ingin mengembangkan karir di bidang Data Science ,Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,9.0
2af566fa-f86c-462b-b3cf-5868069d103e,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Facebook,Fresh Graduates,Universitas Pancasila,"Skil , karier dan job ","Dapat ilmu , relasi, jejaring dan project ",10.0
223e96b7-dfbe-442b-9b28-7fef065a6044,4/19/2024 9:03:31,,Facebook,Mahasiswa,PENS,Menambah Skill,menentukan ingin mengambil data science atau data engineering,11.0
1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,4/25/2024 23:39:21,,Instagram,Mahasiswa,UGM,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,menentukan ingin mengambil data science atau data engineering,12.0
37725a9e-f7e1-4803-ad03-e9be32e186d4,1/12/2024 19:44:23,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,Universitas Widyagama Malang,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik",Memilki ilmu yang lebih dari cukup untuk melakukan pekerjaan di bidang Data Science,13.0
23205395-678b-4b55-a150-3fc8227c3a18,6/29/2024 19:08:51,,Instagram,Fresh Graduates,unindra ,Tertarik untuk switch career ke data analyst ,Semoga setelah mengikuti bootcamp ini saya langsung ketrima kerja sesuai apa yang saya harapkan aamiin,14.0
66435fb2-4e78-43d7-952d-d83ed97c5590,6/29/2024 19:08:51,,Lain-lain,Fresh Graduates,Universitas Mikroskil,Menambah Skill,Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,15.0
2f773992-bd33-499d-b4d8-9de663d61d09,4/19/2024 9:42:53,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram,Pekerja aktif,Universitas Mikroskil,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Bisa menjadi data scientist yg siap kerja,16.0
73ae6177-466a-40ab-833a-67f5a7eedc79,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Gunadarma,Mendalami lebih dalam lagi dibidang yang saya minati,"Dapat ilmu , relasi, jejaring dan project ",17.0
0ee3780f-36f5-4ce7-af65-420a0d0b528c,4/26/2024 18:54:33,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Facebook,Pekerja aktif,UNIVERSITAS NEGERI SURABAYA,Ingin belajar data scientist,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,18.0
b201d5cd-6e38-4c63-8347-e1dbd89720e9,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Lain-lain,Mahasiswa,Universitas Pancasila,Mendalami lebih dalam lagi dibidang yang saya minati,memahami data sains,19.0
9bb07206-a24d-488b-91d9-853f606d5fd4,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram,Fresh Graduates,Universitas Mikroskil,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,Bisa bekerja sebagai Data Science ,20.0
c16dd75d-767f-4f05-a3cf-e3207ecb51a4,6/18/2024 16:35:47,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,Universitas Mayjen Sungkono ,Ingin berkarir di bidang data,memiliki insight baru setiap menghadapi masalah yang berkaitan dengan data,21.0
d5fbe51e-866a-4bc6-acd4-65604d50f3e6,3/3/2024 12:25:26,,Website,Fresh Graduates,Universitas Pancasila,Ingin belajar data scientist,Bisa menjadi data scientist yg siap kerja,22.0
1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,6/29/2024 19:08:51,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Facebook,Pekerja aktif,PT Hiraeth Karya Indonesia,Mendalami lebih dalam lagi dibidang yang saya minati,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",24.0
a2509b39-af24-4703-842f-27c2dcd12475,1/12/2024 19:44:23,,Instagram ads,Mahasiswa,Universitas Widyagama Malang,Ingin belajar data scientist,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,25.0
50bc13c3-0c72-4cab-a0af-b1569c6608e6,6/29/2024 19:08:51,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram ads,Mahasiswa,Universitas Mikroskil,Ingin belajar data scientist,"Dapat ilmu , relasi, jejaring dan project ",26.0
8633ed8f-31e9-45be-8c95-1a50d1658229,4/21/2024 9:03:51,,Instagram,Fresh Graduates,UGM,belajar data sains,Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,27.0
38ba55a0-96fe-4f04-af03-fe2a75bf9968,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Lain-lain,Umum,Politeknik TEDC Bandung,belajar data sains,memiliki insight baru setiap menghadapi masalah yang berkaitan dengan data,28.0
e7ec3fdb-639e-430f-978e-10c034fd3978,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Facebook,Fresh Graduates,Universitas Widyagama Malang,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,Bisa menguasai skill bidang DS dan bisa memulai freelancer,29.0
b72ffd03-aef1-4d7f-896e-953964384583,4/17/2024 16:31:44,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,PENS,Ingin berkarir di bidang data,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,30.0
a9c35b24-76a8-4b67-addd-81845fb390c7,6/29/2024 19:08:51,,Lain-lain,Mahasiswa,Universitas Mayjen Sungkono ,"Skil , karier dan job ","Dapat ilmu , relasi, jejaring dan project ",31.0
202f45d7-fcef-4cc2-8278-6cd8e89d01cd,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Politeknik TEDC Bandung,Ingin mengembangkan karir di bidang Data Science ,Bisa bekerja sebagai Data Science ,32.0
640d60da-a441-4460-b386-d9613ee01d28,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,Universitas Mayjen Sungkono ,Tertarik untuk switch career ke data analyst ,Bisa menguasai skill bidang DS dan bisa memulai freelancer,35.0
dac33426-3c77-4e9c-807c-3ecdc261339f,6/29/2024 19:08:51,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Universitas Alma Ata ,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik",memahami data sains,36.0
0a986dd7-a658-40a9-9d1b-d3074e036e35,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,LinkedIn,Fresh Graduates,PENS,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,37.0
d4024ed1-cddb-4e3c-aea5-6616191d699f,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,Universitas Pancasila,Memperdalam Skill,Bisa bekerja sebagai Data Science ,38.0
6ec72b3a-0222-42ca-a3fe-bc17e019a32f,7/1/2024 16:14:41,,Instagram,Mahasiswa,Universitas Mikroskil,Memperdalam Skill,Bisa menjadi data scientist yg siap kerja,39.0
f6c33008-5144-41d8-b2a5-a570e9f1561b,4/26/2024 18:54:33,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Lain-lain,Pekerja aktif,unindra ,Menambah Skill,"Dapat ilmu , relasi, jejaring dan project ",40.0
9b6d950a-d667-4f0b-ac67-0d810b2feff6,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,ITS,Menambah Skill,Bisa menjadi data scientist yg siap kerja,41.0
47ab6a24-9a36-4af9-b4a4-651bfa037130,2/29/2024 21:13:00,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Website,Fresh Graduates,Universitas Pekalongan ,Ingin berkarir di bidang data,Bisa menjadi data scientist yg siap kerja,42.0
d26cad8a-57db-41ec-9679-d73b30e718dc,6/18/2024 16:35:47,,Instagram,Mahasiswa,Universitas Pekalongan ,Menambah Skill,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,43.0
9ffb6093-07ab-4c59-8f50-d7b38b640c04,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram ads,Fresh Graduates,ITS,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik",Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,44.0
e835a550-12b8-48aa-84a8-7fc1c8b1e775,4/21/2024 9:03:51,,Instagram,Umum,Politeknik TEDC Bandung,Memperdalam Skill,bekerja dibidangnya ,45.0
ab9d4c1f-1773-4f12-88e1-ecd78f51e309,6/18/2024 16:35:47,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,ITS,"Untuk memiliki kemampuan untuk menganalisis data, memiliki kemampuan problem solving yang baik",bekerja dibidangnya ,46.0
e876c637-3708-402f-9fc3-ed2a59c697c9,2/29/2024 21:13:00,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Website,Fresh Graduates,UGM,Mendalami lebih dalam lagi dibidang yang saya minati,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,47.0
52a42141-4b24-488f-8631-7ef301b1c14c,6/30/2024 8:44:28,,LinkedIn,Fresh Graduates,PENS,Ingin mendalami ilmu data science,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,48.0
4c39b0b9-c9d0-45ac-b545-190c3da984fa,2/29/2024 21:13:00,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Pekerja aktif,Gunadarma,Mendalami lebih dalam lagi dibidang yang saya minati,memahami data sains,49.0
9fd059e2-db33-4855-9374-7ccccc82e66e,4/19/2024 9:42:53,,Instagram,Umum,Gunadarma,belajar data sains,menentukan ingin mengambil data science atau data engineering,50.0
90f03727-0a86-4f64-8828-9b8d6d2a0650,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,LinkedIn,Mahasiswa,PT Hiraeth Karya Indonesia,belajar data sains,Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,51.0
4f727795-2eba-42fd-97a6-dd7a8a15282b,4/21/2024 9:03:51,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram,Pekerja aktif,Universitas Mayjen Sungkono ,Memperdalam Skill,Bisa bekerja sebagai Data Science ,52.0
fea9deb6-7320-4e71-8c81-a5529ccdd68c,4/26/2024 18:54:33,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,PENS,Mendalami lebih dalam lagi dibidang yang saya minati,Semoga setelah mengikuti bootcamp ini saya langsung ketrima kerja sesuai apa yang saya harapkan aamiin,53.0
89659f75-6600-40be-8c14-322a5ae87e24,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,ITS,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Bisa bekerja sebagai Data Science ,54.0
8d2d94c5-8114-4962-a74e-d3f9ce3f36f5,3/3/2024 12:25:26,,Instagram ads,Pekerja aktif,Universitas Mikroskil,Ingin belajar data scientist,memahami data sains,55.0
11a3f0b6-30be-4055-bd52-045a04e860fe,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram ads,Pekerja aktif,Gunadarma,Mendalami lebih dalam lagi dibidang yang saya minati,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,56.0
cec079b7-5691-4cd0-9092-3b0388c25d4a,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,Universitas Pekalongan ,"Skil , karier dan job ",Memahami ilmu data science sehingga bisa diimplementasikan ke dunia kerja,57.0
f79501bb-dbe6-4ba4-8439-e4740856c51a,4/21/2024 9:03:51,,Lain-lain,Mahasiswa,Universitas Widyagama Malang,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,Semoga setelah mengikuti bootcamp ini saya langsung ketrima kerja sesuai apa yang saya harapkan aamiin,58.0
f064f333-666c-499f-bfcb-b71607e60de7,4/19/2024 9:03:31,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Umum,PENS,ingin menambah ilmu ,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",59.0
5939bdfb-18e1-40ee-8654-d802e218a33f,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,ITS,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,Bisa bekerja sebagai Data Science ,60.0
e7cb74f4-ab7a-4555-90a9-a9f5ecb3f9b6,2/29/2024 21:13:00,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Umum,Politeknik TEDC Bandung,ingin menambah ilmu ,menentukan ingin mengambil data science atau data engineering,61.0
e98d0b49-dc22-4be4-89e6-38ba25d671b3,4/25/2024 23:39:21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,unindra ,Mendalami lebih dalam lagi dibidang yang saya minati,Bisa menguasai skill bidang DS dan bisa memulai freelancer,62.0
91753f65-ede6-4be5-b7a7-9e8b4da7cc42,3/3/2024 12:25:26,,Instagram,Mahasiswa,UGM,Mendalami lebih dalam lagi dibidang yang saya minati,Paham teori dan bisa membuat project data secara end to end,63.0
53292fdb-b353-457a-8482-81bdab16d44f,6/30/2024 8:44:28,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram ads,Mahasiswa,Universitas Alma Ata ,Ingin belajar data scientist,bekerja dibidangnya ,64.0
9493905e-b65c-40ce-b799-c350ed3e1f18,4/19/2024 9:42:53,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Website,Pekerja aktif,unindra ,Ingin switch karir karna saya melihat potensi karir di data science itu lumayan menjanjikan ,memiliki insight baru setiap menghadapi masalah yang berkaitan dengan data,65.0
9b87a188-a71f-4d7a-bb50-b7fae8022f80,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,UNIVERSITAS NEGERI SURABAYA,Menambah Skill,memiliki insight baru setiap menghadapi masalah yang berkaitan dengan data,66.0
be4db01d-a7c7-4918-93df-7014dc077733,4/24/2024 20:26:57,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Mahasiswa,UNIVERSITAS NEGERI SURABAYA,saya ingin mengembangkan karir sebagai data analyst ataupun data scientist,"Dapat ilmu , relasi, jejaring dan project ",67.0
dfac5d22-8882-4707-bbe8-9325b9ddc739,4/26/2024 10:05:37,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Lain-lain,Pekerja aktif,unindra ,Ingin memperdalam ilmu dan mendapatkan pekerjaan di bidang Data Science,bekerja dibidangnya ,68.0
afcb575e-c985-4e48-8663-6e73dd6dbe65,4/24/2024 20:26:57,,Instagram,Mahasiswa,UGM,Tertarik untuk switch career ke data analyst ,Bisa menjadi data scientist yg siap kerja,69.0
342ea9ee-c313-48ec-9c3e-d11cc7614f54,6/29/2024 19:08:51,,LinkedIn,Pekerja aktif,Universitas Pancasila,Ingin belajar data scientist,Bisa bekerja sebagai Data Science ,70.0
dd17fd3c-6723-465c-8b53-ce5998b51003,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,Universitas Mayjen Sungkono ,Mendalami lebih dalam lagi dibidang yang saya minati,menentukan ingin mengambil data science atau data engineering,71.0
44ca9a06-8b5d-42d1-a313-dfee18559727,7/1/2024 16:14:41,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Fresh Graduates,UGM,Ingin belajar data scientist,"Dapat ilmu , relasi, jejaring dan project ",72.0
dda13a7f-e01e-4084-b353-9a7870744ff1,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Umum,unindra ,Tertarik untuk switch career ke data analyst ,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",73.0
cae3f7d3-ef38-44cd-99ae-c2606063e41f,4/19/2024 9:42:53,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Pekerja aktif,ITS,Menambah Skill,Memilki ilmu yang lebih dari cukup untuk melakukan pekerjaan di bidang Data Science,74.0
26180c48-bfbb-4af5-b4ff-6a1aa15b9f84,4/21/2024 9:03:51,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram ads,Fresh Graduates,unindra ,ingin menambah ilmu ,Paham teori dan bisa membuat project data secara end to end,75.0
5cb0e54b-ec8d-46d8-8d81-eaa3e0687114,6/29/2024 19:08:51,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,LinkedIn,Mahasiswa,Politeknik TEDC Bandung,Memperdalam Skill,Dapat memperoleh kompetensi yg sesuai dengan yg dibutuhkan perusahaan untuk bidamg data science ,76.0
ab3fe741-a432-4b93-97e7-ca7f86b14d56,6/18/2024 16:35:47,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,PENS,ingin menambah ilmu ,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",77.0
51c428b4-c4a7-4da8-86e1-1fa640026086,6/29/2024 19:08:51,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),LinkedIn,Mahasiswa,Universitas Mikroskil,Mendalami lebih dalam lagi dibidang yang saya minati,"mendapatkan job yg sesuai dengan bidang yg saya tekuni yaitu bidang data, dan berharap bootcamp ini memberi job connecting kepada peserta seperti saya",78.0
49e2e565-049d-4753-871a-2ec2587d386e,2/29/2024 21:13:00,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Instagram ads,Pekerja aktif,Politeknik TEDC Bandung,Ingin mendalami ilmu data science,Memilki ilmu yang lebih dari cukup untuk melakukan pekerjaan di bidang Data Science,79.0
e59739bb-d66f-479b-92f8-1a526fb5a428,3/3/2024 12:25:26,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Lain-lain,Fresh Graduates,PENS,Menambah Skill,menentukan ingin mengambil data science atau data engineering,80.0
cdb366d6-e302-45aa-b61c-6bb4bd827c4f,4/24/2024 20:26:57,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Instagram,Pekerja aktif,Universitas Pekalongan ,ingin menambah ilmu ,Mendapatkan skill dalam menganalisa dan membuat suatu solusi dari permasalahan yang ada dengan menerapkan ilmu yang didapat,81.0
