id,Timestamp,Score,1. Bahasa Python bisa digunakan untuk membuat apa saja ? kecuali...,"2. Salah satu syarat dalam mendefinisikan variabel, kecuali…",3. Jenis tipe data yang bersifat numerik adalah…,"4. Python bisa digunakan di online platform, dibawah ini platform mana yang benar ?","5. Python bisa digunakan di offline platform, dibawah ini platform mana yang benar ?",6. Workflow pada Data Science disebut...,"7. Dibawah ini mana yang benar, jika kita ingin membuat teks Selamat Datang",8. Tipe data untuk mencetak bilangan pecahan adalah...,"9. Penggunaan If-Else pada Python, biasanya digunakan untuk menentukan sebuah kondisi.

Benar atau salah ?","10. Posisi if selalu berada setelah posisi else.

Benar atau salah ? ",Unnamed: 0
6e8ade7a-7571-4a9a-bd3e-437b935918c9,2/19/2024 19:50:13,80 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Semua Benar,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
6e8ade7a-7571-4a9a-bd3e-437b935918c9,2/19/2024 19:53:46,90 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
cfdf13ec-555a-4284-958a-b497ef6f1d21,2/20/2024 17:46:24,40 / 100,Game,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,R,CRIPS-DM,"print(""Intelligo ID"")",Decimal,Benar,Benar,
ea232b53-272b-4b9d-8243-ae1567663e2b,7/9/2024 4:11:22,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
84e82477-5fb8-432b-9c0f-6bd0306ca028,7/9/2024 20:33:32,50 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,R,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,String,Benar,Benar,
d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,7/9/2024 21:24:43,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
74b3b685-e360-4fb8-8197-779afb3c837a,12/23/2024 10:26:24,70 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Decimal,Benar,Salah,
fcb27e30-0271-4e2c-9221-b581bf0f7541,12/23/2024 10:28:56,60 / 100,Game,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Decimal,Benar,Salah,
c0bea664-cf6d-49bc-ad6c-cbf2c40cde81,12/23/2024 10:30:06,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c0bea664-cf6d-49bc-ad6c-cbf2c40cde81,12/23/2024 11:37:55,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
fcb27e30-0271-4e2c-9221-b581bf0f7541,12/23/2024 11:38:14,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
b2aa8003-c3f8-4f8b-80b9-ebc060b5b6c4,12/23/2024 11:38:46,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,Jupyter Notebook,Deployment,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
74b3b685-e360-4fb8-8197-779afb3c837a,12/23/2024 11:38:54,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
f98ebeee-34d9-49dc-b30c-a062634c35fc,12/23/2024 11:39:16,50 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Semua Benar,R,Modelling,"print(""Selamat Datang"")",Float,Benar,Salah,
141ebfff-2112-4fb0-9522-2f6a34f388a7,5/17/2025 13:04:18,50 / 100,Game,Nama variabel tidak boleh sama dengan nama keywords,Integer,Semua Benar,R,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
a023b296-888a-46c6-9048-9c83d028a6dc,5/17/2025 13:05:35,80 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c133372d-1b52-42e1-a324-5c3578a04ba5,5/17/2025 13:06:22,70 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Decimal,Benar,Salah,
54f1ad28-35bb-419d-8caa-a3cb090a1adf,5/17/2025 13:06:42,60 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Semua Benar,Semua Benar,Modelling,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
14715ea5-f0f1-4efa-ad44-4a938d428808,5/17/2025 13:07:46,80 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c190954b-bffb-46fc-b723-4cff80f1a53a,5/17/2025 16:25:13,60 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,String,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Decimal,Benar,Salah,
54f1ad28-35bb-419d-8caa-a3cb090a1adf,5/17/2025 16:26:32,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
cdbba19f-9285-484b-ad27-f6da3bea556e,5/17/2025 16:29:09,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
14715ea5-f0f1-4efa-ad44-4a938d428808,5/17/2025 16:31:08,80 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,R,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c190954b-bffb-46fc-b723-4cff80f1a53a,5/17/2025 16:31:12,80 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
e68015dc-24e4-4047-b449-b8af0754c8b0,5/17/2025 16:31:13,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
a023b296-888a-46c6-9048-9c83d028a6dc,5/17/2025 16:51:51,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c9a82866-52ad-4597-8b87-453b4bc3a9d7,5/20/2025 19:42:44,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
85e43b59-9908-4cd1-8ed5-9b1605d2f7c4,5/20/2025 19:44:15,50 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Dictionary,R,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Integer,Salah,Salah,
6a274d5b-677d-4929-aea5-ee7e74b22148,5/20/2025 19:44:33,70 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Jupyter Notebook,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Decimal,Benar,Salah,
ab63b367-3fca-4928-a09d-7193405c35e6,5/20/2025 19:45:19,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
cd8ff864-8804-4512-a910-988d817fa0f4,5/20/2025 19:45:41,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
ccadbee5-4eed-499c-917d-0005cfe48a5d,5/20/2025 19:46:36,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Benar,
ab63b367-3fca-4928-a09d-7193405c35e6,5/20/2025 21:23:43,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
c9a82866-52ad-4597-8b87-453b4bc3a9d7,5/20/2025 21:24:21,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
ccadbee5-4eed-499c-917d-0005cfe48a5d,5/20/2025 23:21:41,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
5fc18e18-f904-4aa2-bc39-3123065a4aae,5/22/2025 19:43:12,70 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Semua Benar,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
a608e31a-b5e4-4e0e-8ade-e8deb84ea428,5/22/2025 19:43:50,50 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Dictionary,Google Colab,Jupyter Notebook,Modelling,Print('Selamat Datang'),Decimal,Benar,Salah,
ab26ccd7-8474-44f1-9ddd-b5903c9c95bb,5/22/2025 19:44:24,70 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Semua Benar,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
eae9c6ab-b800-4b65-a382-76664e1d8410,5/22/2025 19:44:29,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
8aea741c-6c0d-45e2-b79d-94ffdb5b0458,5/22/2025 19:47:13,60 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Jupyter Notebook,Google Colab,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
ab26ccd7-8474-44f1-9ddd-b5903c9c95bb,5/22/2025 21:38:20,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
5fc18e18-f904-4aa2-bc39-3123065a4aae,5/22/2025 23:16:39,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Benar,
5fc18e18-f904-4aa2-bc39-3123065a4aae,5/22/2025 23:17:27,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
8690d38c-6cd0-488c-80b2-392640e1be9e,5/27/2025 17:36:32,90 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
fd09fcd3-790e-4032-9fc6-560b0225dbdf,6/4/2025 14:00:50,80 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
0b84a281-957b-48c8-810e-43387ff73368,6/4/2025 14:16:59,80 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
3e8f0d91-da78-45c3-a1ac-12dc78b84b39,6/4/2025 14:40:23,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
a2588473-130f-497c-a204-abeda5ebc910,6/4/2025 16:17:41,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
2dca67b0-9dec-4cc9-9539-7581a6262ba9,6/4/2025 19:19:48,70 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,Deployment,Pilihan 1 dan 3 Benar,Float,Benar,Benar,
3e8f0d91-da78-45c3-a1ac-12dc78b84b39,6/9/2025 20:46:51,90 / 100,Game,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,
b56f24c7-ae4f-4c6c-9afe-69a2aaf49d25,7/11/2025 19:45:13,60 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,Modelling,print('Selamat Datang'),Decimal,Benar,Salah,
f75086c6-4400-490d-896f-66d7cedbaff8,7/11/2025 19:47:23,50 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,Semua Benar,CRIPS-DM,"print(""Selamat Datang"")",Decimal,Benar,Benar,
e420c585-c64b-42ae-9678-669201c3e5e7,7/11/2025 19:48:44,60 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Semua Benar,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Benar,
e6167931-7dcd-40cb-a065-3804a08ae841,7/8/2024 21:33:17,80 / 100,Game,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,0.0
28c21980-3720-4511-bec7-cc2e6275750a,5/17/2025 16:25:29,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,1.0
6182a456-4de8-43e2-b54f-5836017a532d,1/16/2024 14:04:28,80 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,"print(""Intelligo ID"")",Float,Benar,Salah,2.0
1efd7e76-acea-457d-b43c-d2c538c532b2,2/19/2024 20:48:08,80 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Float,Benar,Salah,3.0
3225e9ea-e884-40bd-a656-818e699d86ec,7/8/2024 22:00:52,90 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,4.0
7b2398e5-7c99-4ccd-aa73-5c987b82858f,2/19/2024 12:10:43,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,Modelling,Pilihan 1 dan 3 Benar,Float,Benar,Salah,5.0
37ff7521-e05d-4635-8d59-e3c6f852d77d,2/19/2024 6:59:22,90 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,6.0
1de40c3b-877b-48c2-be67-4021b5459754,5/22/2025 21:38:20,60 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,7.0
3d110c2c-e912-45ac-b49c-d55781dd00dd,2/19/2024 20:00:24,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Semua Benar,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,8.0
b08e0cea-9237-4a5a-87d6-3f72a313ae3f,5/17/2025 16:25:29,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,9.0
2af566fa-f86c-462b-b3cf-5868069d103e,10/10/2023 19:44:21,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,10.0
223e96b7-dfbe-442b-9b28-7fef065a6044,5/17/2025 13:04:23,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,11.0
1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,5/22/2025 19:44:24,100 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,"print(""Intelligo ID"")",Float,Benar,Salah,12.0
37725a9e-f7e1-4803-ad03-e9be32e186d4,7/8/2024 22:00:52,100 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,13.0
23205395-678b-4b55-a150-3fc8227c3a18,7/11/2024 15:38:01,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,R,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,14.0
66435fb2-4e78-43d7-952d-d83ed97c5590,5/22/2025 19:44:24,80 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,15.0
2f773992-bd33-499d-b4d8-9de663d61d09,5/22/2025 19:44:24,90 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,16.0
73ae6177-466a-40ab-833a-67f5a7eedc79,5/17/2025 16:25:29,100 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,17.0
0ee3780f-36f5-4ce7-af65-420a0d0b528c,7/11/2024 15:38:01,90 / 100,Semua Benar,Tidak dapat diawali dengan angka,Integer,Jupyter Notebook,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,18.0
b201d5cd-6e38-4c63-8347-e1dbd89720e9,2/19/2024 12:10:43,70 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,R,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,19.0
9bb07206-a24d-488b-91d9-853f606d5fd4,2/19/2024 20:00:24,80 / 100,Game,Tidak dapat diawali dengan angka,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,20.0
c16dd75d-767f-4f05-a3cf-e3207ecb51a4,2/19/2024 20:00:24,80 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,21.0
d5fbe51e-866a-4bc6-acd4-65604d50f3e6,5/17/2025 13:04:23,90 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,22.0
1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,2/19/2024 6:54:48,70 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,24.0
a2509b39-af24-4703-842f-27c2dcd12475,5/17/2025 13:04:23,100 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,25.0
50bc13c3-0c72-4cab-a0af-b1569c6608e6,5/22/2025 21:38:20,80 / 100,Game,Tidak boleh ada angka dalam penamaan variabel,Integer,Semua Benar,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,26.0
8633ed8f-31e9-45be-8c95-1a50d1658229,2/19/2024 20:00:24,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,R,CRIPS-DM,"print(""Intelligo ID"")",Float,Benar,Salah,27.0
38ba55a0-96fe-4f04-af03-fe2a75bf9968,5/22/2025 19:47:13,80 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,28.0
e7ec3fdb-639e-430f-978e-10c034fd3978,10/10/2023 19:44:21,100 / 100,Game,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,29.0
b72ffd03-aef1-4d7f-896e-953964384583,5/22/2025 19:47:13,100 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,30.0
a9c35b24-76a8-4b67-addd-81845fb390c7,10/10/2023 19:44:21,90 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Google Colab,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,31.0
202f45d7-fcef-4cc2-8278-6cd8e89d01cd,5/22/2025 19:44:24,90 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,32.0
640d60da-a441-4460-b386-d9613ee01d28,2/19/2024 20:48:08,100 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,35.0
dac33426-3c77-4e9c-807c-3ecdc261339f,5/17/2025 16:25:29,80 / 100,Semua Benar,Harus diawali dengan huruf abjad atau underscore,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,36.0
0a986dd7-a658-40a9-9d1b-d3074e036e35,10/10/2023 19:44:21,90 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,37.0
d4024ed1-cddb-4e3c-aea5-6616191d699f,2/19/2024 15:50:32,70 / 100,Semua Benar,Tidak boleh ada angka dalam penamaan variabel,Integer,Google Colab,Jupyter Notebook,Business Understanding,Pilihan 1 dan 3 Benar,Float,Benar,Salah,38.0
6ec72b3a-0222-42ca-a3fe-bc17e019a32f,2/19/2024 20:00:24,100 / 100,Game,Harus diawali dengan huruf abjad atau underscore,Integer,Semua Benar,Jupyter Notebook,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,39.0
f6c33008-5144-41d8-b2a5-a570e9f1561b,2/19/2024 15:50:32,60 / 100,Semua Benar,Nama variabel tidak boleh sama dengan nama keywords,Integer,Google Colab,Semua Benar,CRIPS-DM,Pilihan 1 dan 3 Benar,Float,Benar,Salah,40.0
