,id,Pilihan Jadwal Kelas,Status
37,50bc13c3-0c72-4cab-a0af-b1569c6608e6,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
38,8633ed8f-31e9-45be-8c95-1a50d1658229,,Fresh Graduates
39,38ba55a0-96fe-4f04-af03-fe2a75bf9968,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
40,e7ec3fdb-639e-430f-978e-10c034fd3978,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
41,b72ffd03-aef1-4d7f-896e-953964384583,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
42,a9c35b24-76a8-4b67-addd-81845fb390c7,,Mahasiswa
43,202f45d7-fcef-4cc2-8278-6cd8e89d01cd,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
44,640d60da-a441-4460-b386-d9613ee01d28,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
45,dac33426-3c77-4e9c-807c-3ecdc261339f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
46,0a986dd7-a658-40a9-9d1b-d3074e036e35,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
47,d4024ed1-cddb-4e3c-aea5-6616191d699f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
48,6ec72b3a-0222-42ca-a3fe-bc17e019a32f,,Mahasiswa
49,f6c33008-5144-41d8-b2a5-a570e9f1561b,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
50,9b6d950a-d667-4f0b-ac67-0d810b2feff6,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
51,47ab6a24-9a36-4af9-b4a4-651bfa037130,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
52,d26cad8a-57db-41ec-9679-d73b30e718dc,,Mahasiswa
53,9ffb6093-07ab-4c59-8f50-d7b38b640c04,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
54,e835a550-12b8-48aa-84a8-7fc1c8b1e775,,Umum
55,ab9d4c1f-1773-4f12-88e1-ecd78f51e309,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
56,e876c637-3708-402f-9fc3-ed2a59c697c9,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
57,52a42141-4b24-488f-8631-7ef301b1c14c,,Fresh Graduates
58,4c39b0b9-c9d0-45ac-b545-190c3da984fa,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
59,9fd059e2-db33-4855-9374-7ccccc82e66e,,Umum
60,90f03727-0a86-4f64-8828-9b8d6d2a0650,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
61,4f727795-2eba-42fd-97a6-dd7a8a15282b,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
62,fea9deb6-7320-4e71-8c81-a5529ccdd68c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
63,89659f75-6600-40be-8c14-322a5ae87e24,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
64,8d2d94c5-8114-4962-a74e-d3f9ce3f36f5,,Pekerja aktif
65,11a3f0b6-30be-4055-bd52-045a04e860fe,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
66,cec079b7-5691-4cd0-9092-3b0388c25d4a,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
67,f79501bb-dbe6-4ba4-8439-e4740856c51a,,Mahasiswa
68,f064f333-666c-499f-bfcb-b71607e60de7,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
69,5939bdfb-18e1-40ee-8654-d802e218a33f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
70,e7cb74f4-ab7a-4555-90a9-a9f5ecb3f9b6,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
71,e98d0b49-dc22-4be4-89e6-38ba25d671b3,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
72,91753f65-ede6-4be5-b7a7-9e8b4da7cc42,,Mahasiswa
73,53292fdb-b353-457a-8482-81bdab16d44f,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
74,9493905e-b65c-40ce-b799-c350ed3e1f18,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
75,9b87a188-a71f-4d7a-bb50-b7fae8022f80,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
76,be4db01d-a7c7-4918-93df-7014dc077733,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
77,dfac5d22-8882-4707-bbe8-9325b9ddc739,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
78,afcb575e-c985-4e48-8663-6e73dd6dbe65,,Mahasiswa
79,342ea9ee-c313-48ec-9c3e-d11cc7614f54,,Pekerja aktif
80,dd17fd3c-6723-465c-8b53-ce5998b51003,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
81,44ca9a06-8b5d-42d1-a313-dfee18559727,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
82,dda13a7f-e01e-4084-b353-9a7870744ff1,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
83,cae3f7d3-ef38-44cd-99ae-c2606063e41f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
84,26180c48-bfbb-4af5-b4ff-6a1aa15b9f84,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
85,5cb0e54b-ec8d-46d8-8d81-eaa3e0687114,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
86,ab3fe741-a432-4b93-97e7-ca7f86b14d56,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
87,51c428b4-c4a7-4da8-86e1-1fa640026086,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
88,49e2e565-049d-4753-871a-2ec2587d386e,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
89,e59739bb-d66f-479b-92f8-1a526fb5a428,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
90,cdb366d6-e302-45aa-b61c-6bb4bd827c4f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
91,bd3fa596-ba3b-4756-90a8-164d551c2b98,,Mahasiswa
92,5fb096ef-d891-4c20-aabc-80216c7d0ac6,,Fresh Graduates
93,e0c2a19b-d844-4f21-887c-a90f7c9b4346,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
94,6be004f0-b701-4daa-b7e2-312b56f97129,,Umum
95,0b187bd8-2c9e-4c1a-ad95-1ac60fa3f39d,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
96,7a024b41-0a4e-41dd-ad47-121884fa8a11,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
97,a50dc3c0-5a19-4025-83eb-5812671c9480,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
98,d1560a24-8c99-4ae8-85f9-c9bf80991ce4,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
99,444bb96e-33b5-408b-8f36-792f40a9e402,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
100,11b7094b-b88a-4478-b067-09000dfe4062,,Pekerja aktif
101,637a2933-734a-4323-a7e9-7f9f79ad4dc4,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
102,1105bd82-4df4-4116-be5a-0fc3f7506907,,Pekerja aktif
103,a8272db8-0e9f-4372-a757-661bd02f9051,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
104,c81c0d30-be22-4d14-a328-3760bfd5e023,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
105,573f0cfc-29ec-4c96-b6fa-c4b9c5746ccf,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
106,a51ce71d-9acf-4e2f-b3bb-2d456a3de7ec,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
107,4c618e0b-e52e-4b54-98ca-542b28fe4432,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
108,220cc7c6-0cef-413b-af2a-ec2208ceac65,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
109,5ea1e29a-d64c-4b9b-bf02-d7bb6e8b1156,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
110,f29b1b86-ab96-4876-889d-70b5955a01c7,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
111,b50df7ff-04f6-45b6-b3fd-0d96d4fbcd61,,Fresh Graduates
112,5e6e310e-6abc-4e1a-b8e6-75b0a5b991b2,,Fresh Graduates
113,6e1d86b6-1249-4c44-a984-f1ea046d19b8,,Mahasiswa
114,9054ffc8-9df3-4b73-a700-17b228a19cba,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
115,a04fce7c-b286-4d7c-a980-189ed10f7dcb,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
116,f443f8f7-c1f8-4b45-a91c-5a994f4c0ef6,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
117,e7d7ce10-2049-4fbe-8a69-710eb0c0b707,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
118,ff9d3a2b-707a-4274-9447-421946699738,,Fresh Graduates
119,22b43ba7-0a64-49dd-bf2f-b6920e84a056,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
120,65f9bddd-fe54-4b4a-b2fa-8104c5db89c0,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
121,b19d51d1-cbaf-4d83-948a-e8f634e3ca48,,Fresh Graduates
122,68808f5c-066f-4afa-b2fa-ae7abe1e6ba5,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
123,8f526ed2-d369-4494-ac76-83d6b718337f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
124,53204bad-4011-4a1a-b4d1-cee62543e32e,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
125,9cdeb8f3-f6ad-44fd-bccb-390c69038d0b,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
126,d13135a7-9a68-4169-815e-981149a54291,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
127,0bb3ee6a-85cc-4eb3-b648-e8c08e1364db,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
128,fb0fdb0e-a962-4fa1-8447-b5f52235ffe8,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
129,9ac75f91-4f73-4df0-bb20-b7de3069baee,,Pekerja aktif
130,50fe2f3d-7fa4-43b4-b182-6ff9a0371dd4,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
131,5d674651-5ef2-4f04-b0fd-1cb744d92488,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
132,24e8d7e7-70e0-47f0-835c-f03045861de5,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
133,375b7df7-16cd-4376-965f-52dc0c4f3eb3,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
134,39acfef6-976a-4ca5-a481-e5d887907fad,,Mahasiswa
135,ebcfc29b-0f9a-4a12-88c4-66d907cc65c9,,Mahasiswa
136,eb698920-996b-4bbd-b8a5-7414f307aa42,,Pekerja aktif
137,80b41e1b-5190-447f-b409-c16b01162cf0,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
138,f6079976-5f69-482b-8b84-179dd5524bfa,,Pekerja aktif
139,f10cf3ff-f51e-442d-bee4-d1c0099c264c,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
140,98101cf4-a26d-4e32-9f91-6f42993b3ea1,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
141,a93b4520-48eb-4201-afbf-b8d72d7eb56a,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
142,61dbc7bb-5997-4446-a7eb-5b0cd4ea98db,,Fresh Graduates
143,8e0fa808-9c9f-47f2-aaa1-6fd29a3c638d,,Fresh Graduates
144,7c7aeed7-f005-426d-aafd-368700609ba0,,Mahasiswa
145,1b06ccbe-4819-4c66-9629-77abef688416,,Pekerja aktif
146,9347de8d-7c8f-4fe7-bb9d-ccf63c729d89,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
147,26321a8a-0e7d-451e-a0f3-787a7432d9cb,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
148,a4272ae2-4e7e-4252-a49a-10445c387bc6,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
149,e62e4b0c-e929-48f4-ad21-f172df57e747,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Umum
150,2d1a4ae6-c125-4238-ae47-5496c45d5d8c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
151,e33fe1f5-796c-4c1d-84c4-32eb396f9837,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
152,4e5e83e4-af3a-4513-ae2d-281f7991fdb7,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
153,df68b52d-88f5-4b15-9731-39301acac35b,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
154,c3199038-0991-484e-bfee-899557351e13,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
155,ede1c719-13be-432a-958d-e5e220f7b972,,Fresh Graduates
156,af8a0613-364e-42b4-903f-c2ea6ed41cea,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
157,c393b545-0428-4a31-927b-e603aa307049,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
158,1a26488b-6cd0-47ce-a93f-a8b4c8da09e2,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
159,d056ef76-a2d5-4e81-9a82-0a5190a878e8,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
160,f5d4a203-e308-452c-86e4-9412e871f2e8,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
161,9e679f83-7105-4a2c-b9d2-82964ea88b4f,,Fresh Graduates
162,20d213ef-76bf-41bb-bc87-9ffcfa2127bc,,Mahasiswa
163,8c8342e9-a790-4117-b607-5415d372b7f6,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
164,a21eedda-983a-47dd-81fc-20e1b1f34d9e,,Fresh Graduates
165,6f680a58-6e7f-4b24-ab2a-8f615cd14a21,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
166,d5b84e64-0316-493b-9d2d-3d5a49490e9c,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
167,85c289f3-c492-4b55-91f1-25a199c58832,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
168,8cc0183c-f480-475a-a25b-559f3576b7c5,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
169,86677349-04ed-425a-b521-0389359ed54e,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
170,455e0529-272b-4550-95d5-a0bdb835ca9f,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
171,20c3a3f4-11c6-43d4-a63d-88f54b3b8096,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
172,acf94512-66a4-418e-98d7-dfc6c4691d80,,Fresh Graduates
173,7428131a-f272-433f-b7ae-725af2ab628d,,Fresh Graduates
174,a137710a-0bfc-4d4e-be3b-2aa711ee0d7c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
175,58d13a75-2efb-4254-85fa-13bdb2ac2156,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
176,9edfb2eb-d613-48d3-bce6-bc81bffc2ac7,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
177,8905a79c-4956-4918-b85f-f194e57c2e62,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
178,eb90a88d-20c0-4c51-98f1-a67bc873c84d,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
179,7c900363-ac5f-43a0-ae64-d5bb23688d88,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
180,493c0fa8-bb96-4b13-b9fb-93abb37b65e7,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
181,f9c4d67a-8176-4831-b098-8d866ed2dd52,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
182,c44b54b6-297d-4d1f-a5cc-1fbf039d492b,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
183,7828cf51-b3a0-48db-8231-70513625208a,,Fresh Graduates
184,ac687490-2263-42a4-b629-41f9cb808ec3,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
185,ae0bc742-9002-4ac9-b183-a2041b84bc8b,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
186,5ef1e3ae-45e5-41e7-956b-4cef7dcf95b5,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
187,2c7871c7-4bd5-43a8-aa2c-3c65fc33736c,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
188,927c3ada-c329-468f-8b53-036feb07b813,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
189,2f520f04-c2d9-4b9c-a029-6f9df9507b70,,Fresh Graduates
190,fefb10d9-4247-4d30-b89d-9efd8c703bf1,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Fresh Graduates
191,9272dcff-3d6f-401f-9f68-7c06df177b96,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
192,9798eef8-20b9-4df4-a0de-81ed2227b9bf,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
193,83da35e2-88ab-4562-9f43-c192ecdaed1e,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
194,581e0c61-097c-43a1-807a-d1f21bf13e0c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
195,3c24d078-c8f8-4f83-ab59-6d25c5b84bc2,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Pekerja aktif
196,e490e589-c757-4a79-9fb9-b96dc034c08b,,Mahasiswa
197,41ae8e3f-715e-4fe0-aa5f-75aca345731c,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Pekerja aktif
198,a9bdcbf6-4345-477c-a7a8-a7a09b29bd64,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
199,2b7f0ba7-166f-43e5-9c60-056b72b479a4,Bootcamp Data Science For Beginner Batch 8 - Mulai Februari 2024,Mahasiswa
200,8aef2d51-8022-4436-a3a6-8c80ea4e0d91,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
201,d975480c-d90f-414e-a9e1-b1288c4fbd1c,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
202,789055e5-3d0a-423a-bd82-c9fcfdf03bac,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
203,6e83b88a-84c4-4f8a-8fa9-9ff48e48fa49,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Fresh Graduates
204,e9877472-82b1-472c-8e62-929561e5e2e7,,Fresh Graduates
205,207a3175-fda0-43fb-8b30-c257bf055847,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Umum
206,18ef96e8-9a73-4678-8c6c-772ce127d7f9,Bootcamp Data Science For Beginner Batch 9 - Mulai April 2024 (Kelas Terdekat),Mahasiswa
